UF;Município;IFDM;Emprego & Renda;Educação;Saúde
SP;Louveira;0,900623;0,753854;0,99059;0,957424
SP;Olímpia;0,88195;0,763927;0,974945;0,90698
SP;Estrela do Norte;0,881005;0,736524;0,997804;0,908686
RS;Vale Real;0,880716;0,795154;0,881922;0,965072
PR;Apucarana;0,880563;0,749571;0,939544;0,952574
RS;Lajeado;0,878862;0,767388;0,919049;0,95015
PR;Toledo;0,878582;0,773109;0,906067;0,95657
SC;Concórdia;0,878113;0,754399;0,923912;0,95603
SP;Itatiba;0,87793;0,717526;0,985039;0,931225
SP;Itupeva;0,877904;0,755637;0,937535;0,940541
SP;São Caetano do Sul;0,877275;0,684366;0,992;0,955458
SP;Jundiaí;0,877102;0,681489;0,988012;0,961806
SP;Jaguariúna;0,876534;0,73753;0,969556;0,922516
SP;São José do Rio Preto;0,87533;0,680755;0,992667;0,952568
SP;Paraguaçu Paulista;0,874622;0,739453;0,977302;0,90711
SP;Mendonça;0,874069;0,660221;0,9955;0,966487
SP;Paulínia;0,874067;0,755748;0,975667;0,890788
PR;Paranavaí;0,873879;0,730943;0,942768;0,947925
PR;Pato Branco;0,873661;0,765625;0,918336;0,937022
SP;Vinhedo;0,872842;0,694079;0,984333;0,940113
SP;Clementina;0,872029;0,786955;0,933661;0,895473
SP;Santos;0,870238;0,715099;0,962676;0,932939
SP;Mococa;0,869078;0,69899;0,963404;0,94484
SP;Amparo;0,868666;0,71991;0,972002;0,914085
SC;Chapecó;0,868448;0,766652;0,907833;0,930859
SP;Barretos;0,867595;0,733237;0,95792;0,91163
SP;São Carlos;0,865083;0,677706;0,986219;0,931322
SP;Planalto;0,865009;0,766005;0,881685;0,947337
PR;Maringá;0,864569;0,749272;0,89983;0,944606
SC;Rio do Sul;0,86357;0,741274;0,909039;0,940396
SP;Ilhabela;0,863386;0,733303;0,957337;0,899518
SP;Andradina;0,863367;0,70594;0,965209;0,91895
SP;Porto Feliz;0,863167;0,754776;0,934706;0,900019
SP;Indaiatuba;0,863167;0,661837;0,995833;0,931832
SP;Nova Odessa;0,862836;0,766688;0,974919;0,846902
RS;Campo Bom;0,862194;0,710435;0,934951;0,941197
SP;Marília;0,861514;0,667926;1;0,916617
SP;Matão;0,86151;0,715485;0,976553;0,892491
SP;Cajamar;0,861013;0,764918;0,902343;0,915778
SC;Joaçaba;0,860755;0,772303;0,914343;0,895618
SP;Franca;0,860738;0,705322;0,963816;0,913077
SP;Borá;0,860161;0,647853;0,967353;0,965278
SP;Holambra;0,859733;0,660049;0,997167;0,921984
SP;Fernandópolis;0,859617;0,681113;0,991667;0,906071
RS;Mato Leitão;0,8587;0,662386;0,972333;0,941382
MG;Patos de Minas;0,858649;0,781296;0,88422;0,910431
SC;Florianópolis;0,85839;0,768008;0,883902;0,923259
SP;Iracemápolis;0,858361;0,691756;0,970187;0,913139
SC;Balneário Camboriú;0,857542;0,77033;0,871543;0,930754
SP;Mirassol;0,856841;0,680366;0,969627;0,92053
PR;Jandaia do Sul;0,85683;0,681717;0,945869;0,942906
SP;Itapira;0,856246;0,736084;0,936834;0,89582
SP;Meridiano;0,856222;0,605638;0,998333;0,964695
RS;Muçum;0,855869;0,685322;0,950167;0,932117
PR;Campo Mourão;0,85552;0,739118;0,869463;0,95798
SP;Atibaia;0,855376;0,667778;0,991341;0,907009
RS;Serafina Corrêa;0,855146;0,671776;0,937892;0,955771
RS;Bento Gonçalves;0,854765;0,720236;0,879141;0,964918
RS;Carlos Barbosa;0,854419;0,726099;0,905994;0,931163
RS;Gramado;0,854193;0,767331;0,868412;0,926835
PR;Medianeira;0,854069;0,781941;0,892619;0,887647
SP;Potirendaba;0,853728;0,658478;0,953198;0,949507
SP;Paraíso;0,853693;0,748041;0,946633;0,866404
SP;Presidente Prudente;0,853468;0,720145;0,956274;0,883984
RS;Picada Café;0,853321;0,594834;0,992833;0,972295
SP;Santo André;0,853231;0,684478;0,946696;0,928521
SP;Barueri;0,852894;0,655981;0,976167;0,926533
RS;Guaporé;0,852703;0,661306;0,933892;0,96291
RS;Santa Rosa;0,852036;0,74721;0,903049;0,905849
SP;Pratânia;0,851981;0,660303;0,963037;0,932602
SP;Bebedouro;0,85163;0,791678;0,950022;0,813189
GO;Chapadão do Céu;0,851604;0,71739;0,986449;0,850974
GO;Itumbiara;0,851395;0,719793;0,961644;0,872747
PR;Curitiba;0,851365;0,711477;0,874091;0,968528
SP;Jarinu;0,851205;0,717207;0,974167;0,86224
SP;Araraquara;0,851013;0,646527;0,981167;0,925345
SP;Pedreira;0,850265;0,654094;0,967476;0,929225
RS;Santa Cruz do Sul;0,850205;0,735575;0,865912;0,949129
SP;Catanduva;0,850126;0,709752;0,979077;0,861548
SP;Campinas;0,850069;0,663547;0,948337;0,938322
SP;Bragança Paulista;0,850023;0,682232;0,936368;0,931469
SP;Penápolis;0,849705;0,673486;0,975167;0,900462
SP;Taguaí;0,848644;0,688161;1;0,857772
PR;Francisco Beltrão;0,84859;0,795112;0,850298;0,900359
PR;Londrina;0,848321;0,756323;0,842248;0,946391
SC;São Lourenço do Oeste;0,848226;0,728648;0,87715;0,938879
RS;Veranópolis;0,848106;0,677915;0,907902;0,9585
PR;Marechal Cândido Rondon;0,848009;0,754538;0,876884;0,912603
GO;Ceres;0,847843;0,625488;0,99;0,92804
SP;Votuporanga;0,847841;0,650443;0,995;0,89808
SP;Lençóis Paulista;0,847631;0,700765;0,967975;0,874152
SP;Valinhos;0,847364;0,657076;0,9375;0,947515
SP;Gabriel Monteiro;0,846844;0,620416;1;0,920115
CE;Eusébio;0,846674;0,662919;0,954905;0,922199
RS;Ijuí;0,846635;0,73254;0,907871;0,899494
SP;Jaci;0,846526;0,652346;0,925765;0,961467
RS;Farroupilha;0,84651;0,716847;0,881203;0,941481
RS;Frederico Westphalen;0,84627;0,711445;0,931382;0,895982
SP;São João da Boa Vista;0,84607;0,685331;0,988136;0,864742
RS;Ivoti;0,845871;0,69199;0,909755;0,935869
RS;Casca;0,845782;0,659983;0,905931;0,971431
SP;Gavião Peixoto;0,845738;0,774168;0,9565;0,806547
SP;Bariri;0,845351;0,647278;0,942194;0,94658
SP;Limeira;0,845054;0,700608;0,955095;0,879458
SP;Bauru;0,844843;0,677729;0,93901;0,91779
PR;Itapejara d'Oeste;0,844739;0,699676;0,932163;0,902377
PR;Realeza;0,844552;0,651061;0,951876;0,930718
SP;Mogi das Cruzes;0,844361;0,682049;0,939185;0,911849
PR;Cascavel;0,844237;0,750363;0,85149;0,930859
RS;Teutônia;0,844181;0,67351;0,893588;0,965446
SP;Mogi Mirim;0,844018;0,680924;0,919142;0,931989
RS;Arroio do Meio;0,843898;0,68124;0,897127;0,953326
MG;Andradas;0,843371;0,695099;0,898257;0,936757
SP;Mogi Guaçu;0,84334;0,724643;0,941719;0,863658
SP;Ribeirão Preto;0,843066;0,67453;0,936814;0,917853
SP;Botucatu;0,842864;0,634591;0,947585;0,946416
RS;Roca Sales;0,842795;0,704611;0,868431;0,955342
PR;Rolândia;0,842673;0,749808;0,860156;0,918054
SP;Cerquilho;0,842561;0,631664;0,992114;0,903904
RS;Ibirubá;0,841977;0,700327;0,898559;0,927044
RS;Nova Esperança do Sul;0,841898;0,693966;0,947843;0,883884
SP;Birigui;0,841513;0,779286;1;0,745253
ES;Aracruz;0,841311;0,737452;0,863204;0,923276
MG;Poços de Caldas;0,840215;0,698123;0,916242;0,90628
SP;Bady Bassitt;0,840131;0,605082;0,97907;0,936242
MS;São Gabriel do Oeste;0,840088;0,744537;0,868226;0,907503
SC;Tubarão;0,83994;0,74065;0,874151;0,90502
SP;Salto;0,839052;0,69606;0,9491;0,871997
PR;Rio Negro;0,838697;0,652524;0,904905;0,958661
GO;Quirinópolis;0,838668;0,693638;0,918024;0,904342
SC;São Bento do Sul;0,838501;0,711957;0,909853;0,893694
SP;Caraguatatuba;0,838363;0,726044;0,983333;0,805713
RS;Pinhal;0,837821;0,709833;0,842889;0,960742
PR;Cianorte;0,837668;0,692773;0,848444;0,971787
RS;Santa Maria do Herval;0,837623;0,626458;0,910412;0,975998
SP;Orindiúva;0,837258;0,683703;0,932248;0,895823
SP;São Paulo;0,837017;0,645247;0,950787;0,915018
SP;Cristais Paulista;0,836943;0,680678;0,967591;0,862561
RS;Camargo;0,836887;0,669877;0,862826;0,977958
SP;Nova Independência;0,836808;0,656243;0,937591;0,916592
PR;Joaquim Távora;0,836749;0,728551;0,868457;0,913238
SP;Taquaral;0,83658;0,597917;0,956653;0,955171
SP;Santana de Parnaíba;0,836262;0,612829;0,949667;0,946291
MG;Extrema;0,835666;0,607398;0,979912;0,919688
SP;Araras;0,835612;0,701893;0,996333;0,808611
CE;Sobral;0,835467;0,742047;0,871599;0,892756
SC;Blumenau;0,835433;0,706383;0,890539;0,909378
MT;Lucas do Rio Verde;0,835372;0,723996;0,919199;0,862922
SP;Porto Ferreira;0,83498;0,69986;0,889852;0,91523
SP;Americana;0,834963;0,689204;0,992081;0,823605
RS;Nova Petrópolis;0,834873;0,64205;0,925069;0,937499
GO;Caldas Novas;0,83432;0,791793;0,851074;0,860094
SP;Sorocaba;0,8343;0,647834;0,978178;0,876887
SC;Brusque;0,834278;0,721976;0,859197;0,92166
SP;Guapiaçu;0,834029;0,641726;0,94397;0,916391
RS;Nova Alvorada;0,833943;0,693203;0,843347;0,965278
SP;Santa Cruz do Rio Pardo;0,833811;0,744085;0,970626;0,786722
SC;Pinhalzinho;0,833809;0,695327;0,880431;0,925667
RS;Westfália;0,833783;0,655323;0,91621;0,929817
SC;São Miguel do Oeste;0,833749;0,721337;0,894755;0,885154
SP;Santa Fé do Sul;0,833611;0,604863;1;0,895969
SP;Santa Bárbara d'Oeste;0,833583;0,66935;0,96649;0,864909
SP;Itapetininga;0,833011;0,675156;0,93702;0,886858
SP;São Bernardo do Campo;0,832688;0,590326;0,96488;0,942857
SP;Descalvado;0,832619;0,640981;0,944701;0,912175
PR;Cafelândia;0,832556;0,683893;0,84718;0,966595
SP;José Bonifácio;0,832418;0,671998;0,938064;0,887193
RS;Garibaldi;0,832388;0,7009;0,908774;0,887489
MG;Lagoa da Prata;0,832309;0,720018;0,867699;0,909211
SP;Adamantina;0,832098;0,705686;0,966031;0,824577
RS;Nova Candelária;0,831555;0,695657;0,858765;0,940243
RS;Travesseiro;0,831511;0,550065;0,965378;0,979091
SP;Marapoama;0,831356;0,59187;0,980682;0,921515
SP;Cordeirópolis;0,831257;0,633252;0,941261;0,919257
MG;Uberlândia;0,830627;0,713218;0,848668;0,929997
RS;Marau;0,830391;0,6523;0,858931;0,979943
MG;Formiga;0,830136;0,686392;0,912559;0,891458
MG;Lagoa Santa;0,830044;0,727888;0,868458;0,893787
SP;São José do Rio Pardo;0,830017;0,639231;0,963127;0,887692
SC;Itajaí;0,82991;0,662516;0,897567;0,929648
SP;Piracicaba;0,829648;0,70461;0,99;0,794334
SP;Leme;0,828257;0,692608;0,962029;0,830134
SC;Braço do Norte;0,828132;0,733879;0,86948;0,881037
SC;Timbó;0,827758;0,667827;0,913578;0,901869
SP;Ibitinga;0,827715;0,625414;0,964317;0,893412
PI;Teresina;0,827458;0,784716;0,863201;0,834456
MG;Pouso Alegre;0,827437;0,721077;0,872213;0,889023
GO;Corumbaíba;0,827129;0,715028;0,894464;0,871895
RS;Nova Araçá;0,8271;0,737862;0,861872;0,881567
SP;Dracena;0,826914;0,669993;0,981833;0,828914
SP;Arujá;0,826801;0,670052;0,942434;0,867918
MG;Perdigão;0,826778;0,715994;0,864193;0,900147
MT;Cuiabá;0,826647;0,777579;0,820203;0,882159
SC;Xaxim;0,826617;0,741235;0,872569;0,866046
SC;Maravilha;0,826421;0,644324;0,909735;0,925204
RS;Nova Boa Vista;0,82613;0,604931;0,903265;0,970193
RS;São José do Inhacorá;0,825855;0,597762;0,899431;0,980372
SP;Monções;0,825714;0,670459;0,9875;0,819183
GO;Cristalina;0,825667;0,853687;0,759532;0,863783
SP;Tatuí;0,825653;0,655016;0,918505;0,903438
SC;Treze Tílias;0,825611;0,732205;0,894431;0,850197
SP;Batatais;0,825562;0,667782;0,929529;0,879376
SP;Rio Claro;0,825328;0,662931;0,940813;0,872239
PR;Sabáudia;0,8253;0,711018;0,853255;0,911627
SC;Indaial;0,825216;0,674552;0,896598;0,904499
RS;Panambi;0,825193;0,704396;0,87223;0,898954
SP;Santa Clara d'Oeste;0,825092;0,626469;0,9775;0,871305
MG;Pará de Minas;0,824887;0,711653;0,896675;0,866335
SC;Antônio Carlos;0,824859;0,646808;0,905098;0,922673
SP;Colômbia;0,824774;0,651343;0,979667;0,843313
ES;Vitória;0,824399;0,623731;0,90852;0,940947
SP;Ocauçu;0,824152;0,538548;0,980353;0,953554
SC;Jaraguá do Sul;0,824084;0,64241;0,911836;0,918006
PR;Paraíso do Norte;0,82396;0,718565;0,928167;0,825149
RS;Montenegro;0,82389;0,720815;0,842452;0,908404
SP;Jales;0,82366;0,635771;0,990233;0,844976
PR;Sertanópolis;0,823188;0,654182;0,885285;0,930096
GO;Edéia;0,822937;0,753226;0,855382;0,860202
RS;Paraí;0,822934;0,60874;0,970047;0,890016
SP;Pirassununga;0,822574;0,684498;0,933077;0,850148
SP;Ribeirão Pires;0,822379;0,5969;0,949999;0,920237
MG;Varginha;0,822371;0,714234;0,857279;0,8956
RS;Chapada;0,822225;0,592119;0,969286;0,905269
SP;Boracéia;0,822112;0,677569;0,968224;0,820542
MG;Santa Vitória;0,82196;0,649372;0,879222;0,937286
MG;Belo Horizonte;0,821936;0,705996;0,868134;0,891677
RS;Estância Velha;0,82193;0,658411;0,872529;0,93485
SP;Zacarias;0,821779;0,544898;0,972578;0,947861
SP;Corumbataí;0,82171;0,607107;0,964;0,894023
SC;Itapema;0,821505;0,702575;0,853203;0,908736
SP;Jaboticabal;0,82147;0,652845;0,930191;0,881375
RS;Bom Retiro do Sul;0,82144;0,62092;0,950363;0,893037
MG;São Lourenço;0,821327;0,625637;0,915296;0,923047
MS;Três Lagoas;0,821036;0,746767;0,802141;0,914201
RS;Igrejinha;0,821019;0,672196;0,876246;0,914614
SP;São Lourenço da Serra;0,820616;0,659177;0,919775;0,882897
RS;Torres;0,820571;0,668169;0,879235;0,914308
RS;Encantado;0,820543;0,636752;0,892588;0,932287
SP;Registro;0,82052;0,607683;0,954118;0,89976
SP;Brodowski;0,820502;0,650966;0,926945;0,883594
SP;Sandovalina;0,820412;0,591433;0,930756;0,939048
SP;Cotia;0,820358;0,660282;0,894725;0,906068
GO;Nova América;0,820353;0,606158;0,923657;0,931244
PR;São Manoel do Paraná;0,820299;0,674994;0,892071;0,893833
PR;Arapongas;0,82;0,762063;0,862414;0,835525
CE;São Gonçalo do Amarante;0,8199;0,723612;0,842567;0,89352
SP;Altinópolis;0,81968;0,597115;0,949502;0,912424
SP;Américo Brasiliense;0,81965;0,581535;0,957583;0,919833
RS;Palmitinho;0,819537;0,579993;0,934706;0,943912
RS;Três de Maio;0,8195;0,643534;0,914863;0,900102
SP;Santa Gertrudes;0,819481;0,692702;0,945675;0,820067
RS;Harmonia;0,819378;0,638505;0,910412;0,909217
MG;Uberaba;0,819372;0,700598;0,890631;0,866887
SP;Ourinhos;0,819233;0,669351;0,927753;0,860595
PR;Ponta Grossa;0,818958;0,744558;0,870747;0,841569
MG;Itanhandu;0,818916;0,665904;0,885684;0,905159
MS;Rio Brilhante;0,818903;0,71294;0,804279;0,939492
SC;Criciúma;0,818582;0,692854;0,892672;0,870221
MG;Patrocínio;0,818452;0,697645;0,870542;0,887169
MG;Cruzeiro da Fortaleza;0,818358;0,604707;0,895956;0,954411
PR;Ivatuba;0,818315;0,58223;0,951216;0,921498
SP;Osasco;0,818279;0,660574;0,924105;0,870159
MT;Diamantino;0,818189;0,672257;0,871576;0,910734
MG;Nova Lima;0,818005;0,618311;0,922659;0,913044
RJ;Itaperuna;0,817966;0,660306;0,892375;0,901218
PR;São João;0,81794;0,611981;0,974916;0,866924
MT;Sorriso;0,817935;0,785667;0,830358;0,837779
MG;Alfenas;0,817908;0,692492;0,875193;0,886039
RS;Tupandi;0,817886;0,584335;0,926382;0,942939
RS;Bom Princípio;0,817835;0,569671;0,957775;0,926059
SP;São José dos Campos;0,817666;0,615875;0,966492;0,870632
SP;Araçatuba;0,817586;0,711051;0,975697;0,76601
MT;Campo Novo do Parecis;0,817558;0,743138;0,833274;0,87626
RS;Lindolfo Collor;0,817549;0,684543;0,875196;0,892907
SP;Boituva;0,817425;0,648044;0,966083;0,83815
GO;Ouvidor;0,817365;0,684797;0,944748;0,822551
SP;Sertãozinho;0,817298;0,602946;0,964639;0,884309
SP;Monte Alto;0,817264;0,608211;0,953415;0,890167
GO;Goiânia;0,817042;0,688482;0,868299;0,894347
SP;Ouroeste;0,816899;0,654719;0,967458;0,828522
PR;Palotina;0,816801;0,703507;0,882755;0,864142
MG;Guaxupé;0,816262;0,613859;0,912209;0,922717
SP;Avaré;0,816117;0,709908;0,959934;0,778509
RS;Morro Reuter;0,815878;0,635141;0,910141;0,902354
SC;São José;0,815874;0,721415;0,807545;0,918664
SP;Mira Estrela;0,815704;0,508318;0,984922;0,953873
PR;Dois Vizinhos;0,815567;0,713853;0,857518;0,875331
SP;Novo Horizonte;0,815464;0,645502;0,933356;0,867533
SC;Laurentino;0,815419;0,630234;0,892931;0,923092
RS;Santa Clara do Sul;0,815277;0,587742;0,935912;0,922179
PR;Cambé;0,815271;0,677849;0,825625;0,94234
SP;Rubinéia;0,815161;0,57381;0,987667;0,884005
SP;Pompéia;0,815131;0,658277;0,979473;0,807643
PR;Nova Londrina;0,81509;0,662914;0,920245;0,862111
SP;Hortolândia;0,814984;0,567521;0,969614;0,907818
SP;Paranapuã;0,814922;0,59445;0,979265;0,871051
SP;São Roque;0,814901;0,65091;0,930824;0,862968
SP;Nova Aliança;0,814608;0,57462;0,922058;0,947145
MS;Campo Grande;0,814537;0,71824;0,827554;0,897816
SP;Garça;0,814518;0,638581;0,928223;0,87675
SP;Cedral;0,814463;0,535329;0,957902;0,950157
PR;Mandaguari;0,814419;0,644929;0,962245;0,836083
SP;Tupã;0,814382;0,658219;0,932535;0,852393
SC;Vargeão;0,814319;0,654148;0,886338;0,902472
RS;Imigrante;0,814301;0,673309;0,928784;0,840809
SC;Itapiranga;0,81417;0,622806;0,959789;0,859916
SP;Sebastianópolis do Sul;0,813798;0,650452;1;0,790943
SC;Joinville;0,813731;0,655348;0,871845;0,914001
SP;Lindóia;0,813704;0,628793;0,889867;0,922451
SP;Capivari;0,813175;0,66849;0,901718;0,869316
SP;Fartura;0,813088;0,544309;1;0,894956
MG;Araporã;0,812663;0,671831;0,897882;0,868277
RS;Dois Irmãos;0,812589;0,672661;0,871255;0,893849
PR;Umuarama;0,812388;0,733523;0,866319;0,837321
MG;Itajubá;0,812372;0,615155;0,891452;0,93051
PR;Astorga;0,812357;0,628826;0,885405;0,92284
RS;Barra Funda;0,812302;0,583919;0,935;0,917986
RS;Rodeio Bonito;0,812027;0,611073;0,883755;0,941252
SC;Capinzal;0,812022;0,705323;0,855609;0,875134
SP;Onda Verde;0,812007;0,589292;0,951448;0,89528
SP;Colina;0,811979;0,582685;0,941531;0,911722
PR;Ibiporã;0,811788;0,644753;0,899462;0,89115
SP;Junqueirópolis;0,811627;0,525788;1;0,909093
SC;Quilombo;0,81161;0,664498;0,857518;0,912815
MG;Serra do Salitre;0,811587;0,693184;0,887497;0,85408
PR;Jaguapitã;0,811381;0,7211;0,827091;0,885952
SP;Laranjal Paulista;0,811348;0,639066;0,917469;0,877507
RS;Cruz Alta;0,811299;0,72802;0,813326;0,89255
SC;Peritiba;0,811118;0,588759;0,877265;0,967331
SP;Buritizal;0,811087;0,632537;0,899396;0,901329
SP;Queiroz;0,810997;0,645547;0,943586;0,843856
RS;Três Passos;0,810878;0,603653;0,926206;0,902775
SP;Tietê;0,810793;0,617956;0,959148;0,855275
PR;Pinhais;0,810765;0,65844;0,85866;0,915194
RS;Erechim;0,810717;0,662341;0,901422;0,868388
SC;Bombinhas;0,810569;0,66379;0,869765;0,898153
SC;Rodeio;0,810543;0,642543;0,856513;0,932572
ES;Linhares;0,810494;0,688645;0,847709;0,895129
SP;Guaíra;0,810478;0,663099;0,948302;0,820033
MS;Dourados;0,81011;0,766784;0,783124;0,880421
MG;Araxá;0,80996;0,693621;0,924069;0,81219
SP;Espírito Santo do Pinhal;0,809863;0,669132;0,952906;0,807551
RS;Tapejara;0,809187;0,710053;0,840764;0,876744
SC;Xanxerê;0,809177;0,730121;0,824625;0,872786
SC;Mafra;0,808896;0,637063;0,847853;0,94177
RJ;Nova Friburgo;0,808879;0,667659;0,881872;0,877108
SP;Tanabi;0,808735;0,51545;0,976176;0,934578
SP;Itapeva;0,808734;0,638115;0,9609;0,827188
SP;Jaú;0,808652;0,737102;0,907785;0,78107
PR;Kaloré;0,808651;0,573204;0,905922;0,946828
PR;Tapejara;0,808577;0,661829;0,834032;0,929872
PR;Mandaguaçu;0,808515;0,620251;0,869412;0,935881
SP;Aparecida;0,808445;0,68271;0,921245;0,821379
RS;Sapiranga;0,808223;0,665341;0,876461;0,882867
SP;Tapiratiba;0,808217;0,580065;0,968676;0,875909
RS;Horizontina;0,80809;0,619056;0,928559;0,876656
SP;Bom Jesus dos Perdões;0,808075;0,602209;0,945654;0,876361
SP;Itu;0,807574;0,643425;0,912953;0,866343
SC;Ituporanga;0,80754;0,648091;0,873345;0,901185
PR;Céu Azul;0,807494;0,61693;0,866241;0,939312
PR;São José dos Pinhais;0,807354;0,71224;0,771766;0,938058
RS;Vila Maria;0,807152;0,60343;0,852241;0,965786
SP;Vista Alegre do Alto;0,807103;0,678641;0,924016;0,818651
PR;Florestópolis;0,807087;0,681996;0,816799;0,922467
PR;Matelândia;0,807023;0,769106;0,829277;0,822686
PR;Cambira;0,806812;0,54029;0,886966;0,99318
SC;Pomerode;0,80669;0,621243;0,917218;0,881608
MT;Sinop;0,806446;0,741859;0,807177;0,870303
SP;Assis;0,806365;0,665843;0,985167;0,768087
MG;Cachoeira Dourada;0,806344;0,601607;0,905914;0,911511
RS;Passo Fundo;0,805994;0,739092;0,775447;0,903441
SP;Águas de Lindóia;0,805594;0,5409;0,963667;0,912217
SC;Saudades;0,805379;0,642472;0,887931;0,885733
SP;Lins;0,805235;0,709267;0,94448;0,761959
SC;Fraiburgo;0,805228;0,680489;0,837879;0,897314
MG;Confins;0,805214;0,670544;0,897549;0,84755
SC;Içara;0,804806;0,665909;0,874718;0,87379
SP;Pirapozinho;0,804745;0,569664;0,952851;0,891719
PR;Bom Jesus do Sul;0,804723;0,549291;0,9675;0,897379
MG;São Sebastião da Bela Vista;0,804709;0,734102;0,814664;0,865361
RS;Capitão;0,804701;0,615121;0,893804;0,905179
SC;Videira;0,804678;0,716838;0,881691;0,815504
MG;Pouso Alto;0,804649;0,653567;0,83374;0,926639
RS;Tapera;0,804572;0,580599;0,863806;0,969311
SP;Taubaté;0,804182;0,600853;0,902882;0,908811
SP;Pradópolis;0,804134;0,632148;0,868165;0,912089
SP;Barra Bonita;0,803886;0,624267;0,965454;0,821939
MG;Lavras;0,803786;0,655479;0,877639;0,878238
PR;São Tomé;0,803434;0,611093;0,842308;0,956902
PR;Guarapuava;0,803335;0,758352;0,761955;0,889698
SC;Guabiruba;0,803311;0,649778;0,870951;0,889204
MT;Campo Verde;0,803201;0,733854;0,801717;0,874033
RS;Estrela;0,803151;0,620663;0,851422;0,93737
RS;Carazinho;0,803072;0,680816;0,844679;0,883721
RS;Feliz;0,803032;0,593943;0,896078;0,919074
SP;Guarulhos;0,803029;0,623798;0,894509;0,89078
SP;Palmital;0,802981;0,551321;0,969475;0,888147
PR;Serranópolis do Iguaçu;0,802945;0,551415;0,894575;0,962845
SP;Aparecida d'Oeste;0,802901;0,560696;0,984833;0,863175
GO;Rio Verde;0,802891;0,716697;0,871208;0,820768
RS;Flores da Cunha;0,802841;0,641111;0,890664;0,876747
RS;Tio Hugo;0,802799;0,562155;0,886725;0,959517
MS;Naviraí;0,802742;0,624679;0,870137;0,913409
MG;Bom Jesus da Penha;0,802649;0,496166;0,947059;0,964721
MG;Viçosa;0,802445;0,685899;0,867535;0,8539
PR;Marilena;0,802241;0,609851;0,882918;0,913955
SP;Orlândia;0,802107;0,621944;0,959769;0,824609
MG;São Gotardo;0,802106;0,64636;0,887214;0,872745
RS;Montauri;0,801838;0,602754;0,803095;0,999666
RS;Rolante;0,801813;0,619398;0,890725;0,895315
SP;Taboão da Serra;0,801811;0,601748;0,917475;0,886209
RS;Lagoa dos Três Cantos;0,801803;0,567448;0,911049;0,926912
SP;Cândido Rodrigues;0,801772;0,574868;0,967277;0,863172
RS;Caxias do Sul;0,801737;0,635939;0,822808;0,946465
MS;Chapadão do Sul;0,801497;0,613963;0,868049;0,922478
RS;Tucunduva;0,801442;0,52588;0,989;0,889445
GO;Anápolis;0,801378;0,716177;0,825487;0,86247
ES;Colatina;0,801353;0,683842;0,887764;0,832452
RS;Capão da Canoa;0,801349;0,75792;0,78751;0,858617
SP;São Sebastião da Grama;0,801275;0,719053;0,86314;0,821633
SC;Arroio Trinta;0,801087;0,577948;0,891853;0,933461
TO;Palmas;0,800961;0,625406;0,893129;0,884349
PR;Mercedes;0,800941;0,583806;0,864259;0,954758
PR;Campo Largo;0,800891;0,681225;0,816888;0,90456
MT;Nova Mutum;0,800567;0,663323;0,865911;0,872467
SC;Campo Alegre;0,800562;0,691972;0,821625;0,888088
MG;Arapuá;0,800555;0,613558;0,882041;0,906067
RS;Capivari do Sul;0,800483;0,613608;0,831611;0,956231
SP;Diadema;0,800424;0,598338;0,918664;0,884271
MT;Rondonópolis;0,800382;0,699339;0,83234;0,869468
RS;Aratiba;0,800318;0,46325;0,9985;0,939205
MG;Coromandel;0,799944;0,570318;0,881181;0,948334
PR;Castro;0,799879;0,732868;0,865162;0,801608
PR;Jacarezinho;0,799792;0,696235;0,779605;0,923535
CE;Maracanaú;0,799738;0,698115;0,843648;0,857449
SC;Canoinhas;0,799674;0,624243;0,858417;0,916362
MG;Nova Serrana;0,799656;0,746876;0,841039;0,811052
SP;Ubarana;0,799636;0,636302;0,899726;0,862882
PR;Santo Antônio do Sudoeste;0,799486;0,615504;0,839159;0,943795
RS;São Marcos;0,799435;0,636687;0,834828;0,926792
PR;Sertaneja;0,799383;0,581738;0,908078;0,908333
SP;Joanópolis;0,799288;0,521915;0,949464;0,926485
RS;São Domingos do Sul;0,799257;0,605613;0,859322;0,932837
SP;Dumont;0,799124;0,629284;0,951891;0,816195
RS;Poço das Antas;0,799103;0,634183;0,872706;0,890419
SP;Socorro;0,799095;0,527775;0,96828;0,901231
SP;Santa Albertina;0,799054;0,649283;0,926189;0,821689
SP;Mirassolândia;0,799054;0,463045;0,957345;0,97677
PR;Santa Izabel do Oeste;0,798927;0,572285;0,892893;0,931604
SC;São José do Cedro;0,798925;0,596485;0,897265;0,903024
MG;Três Pontas;0,798877;0,613814;0,87664;0,906177
SP;Santo Antônio de Posse;0,798837;0,656959;0,85269;0,886863
RS;Canela;0,798608;0,589614;0,847943;0,958266
SP;Cabreúva;0,798435;0,582409;0,911661;0,901235
SP;Alfredo Marcondes;0,798381;0,572852;0,986176;0,836115
CE;Horizonte;0,798277;0,683236;0,816369;0,895226
SP;Várzea Paulista;0,798031;0,558117;0,898964;0,937012
PR;Jussara;0,798004;0,648757;0,81258;0,932674
SC;Gaspar;0,79799;0,712333;0,861926;0,819711
SP;Itápolis;0,797966;0,530863;0,976991;0,886044
SC;Luiz Alves;0,797888;0,675391;0,867081;0,851192
MG;Muriaé;0,7978;0,644407;0,864861;0,884131
SP;Capão Bonito;0,79778;0,529684;0,949606;0,91405
