UF;Município;IFDM;Emprego & Renda;Educação;Saúde
BA;Ribeira do Pombal;0,597285;0,492143;0,684264;0,615447
MA;Arari;0,597226;0,494308;0,652526;0,644845
MG;Itabirinha;0,597201;0,398566;0,79418;0,598858
TO;Santa Tereza do Tocantins;0,597108;0,321889;0,660522;0,808914
MG;Senhora do Porto;0,597077;0,416445;0,752158;0,622626
PB;Uiraúna;0,597073;0,452181;0,69836;0,640678
MG;Sem-Peixe;0,597005;0,318355;0,886301;0,58636
MG;Mirabela;0,596995;0,306399;0,782794;0,701791
RN;Jardim de Piranhas;0,596959;0,472196;0,708428;0,610253
RO;Presidente Médici;0,596751;0,34926;0,769554;0,671438
RO;Campo Novo de Rondônia;0,596722;0,398179;0,659232;0,732756
SE;Japoatã;0,596715;0,484945;0,638089;0,667112
AL;Porto Calvo;0,596618;0,379628;0,637097;0,773128
PI;Guadalupe;0,596562;0,414076;0,732149;0,643459
BA;Serra Dourada;0,59649;0,306514;0,686499;0,796458
PE;Catende;0,596454;0,277813;0,684754;0,826793
RJ;Belford Roxo;0,596341;0,433308;0,614087;0,741628
RN;Caiçara do Norte;0,596304;0,327942;0,637919;0,823051
MG;Liberdade;0,596186;0,369063;0,756909;0,662587
RN;Rafael Fernandes;0,596087;0,402886;0,677376;0,707999
CE;Ibaretama;0,595953;0,46951;0,684989;0,633361
PI;Dom Expedito Lopes;0,5959;0,3963;0,723878;0,667521
BA;Santa Teresinha;0,59587;0,449663;0,637152;0,700794
MG;Fortaleza de Minas;0,595791;0,311952;0,792372;0,68305
SC;Major Gercino;0,59575;0,347998;0,70981;0,729443
PA;Irituia;0,595746;0,446695;0,60397;0,736572
AL;Minador do Negrão;0,595643;0,414078;0,663509;0,709342
PA;Santa Bárbara do Pará;0,595632;0,402049;0,671335;0,713511
PB;São João do Cariri;0,595581;0,446321;0,76054;0,579881
MT;Rosário Oeste;0,595557;0,470408;0,706919;0,609344
SE;Maruim;0,595443;0,400059;0,606946;0,779325
PI;São João do Arraial;0,595396;0,417426;0,727009;0,641752
BA;Paramirim;0,59535;0,403058;0,697506;0,685487
PI;Sigefredo Pacheco;0,595325;0,277341;0,758894;0,749741
MG;Caranaíba;0,595273;0,339773;0,759763;0,686284
GO;Aragoiânia;0,595224;0,333559;0,725086;0,727027
RN;Paraná;0,595182;0,439379;0,666381;0,679786
PB;São Miguel de Taipu;0,595024;0,479358;0,597729;0,707986
PI;Oeiras;0,594974;0,423845;0,811264;0,549813
MG;Gonzaga;0,594784;0,201213;0,752235;0,830903
GO;Goianápolis;0,594494;0,359217;0,841173;0,583093
MG;Santana de Cataguases;0,594385;0,290392;0,890963;0,601801
CE;Santana do Acaraú;0,59432;0,417855;0,707914;0,65719
MT;Araguainha;0,594143;0,645962;0,68229;0,454179
PE;Cortês;0,593967;0,385754;0,646797;0,749351
PI;Barras;0,593957;0,448738;0,687205;0,645928
BA;Antônio Cardoso;0,593912;0,43047;0,64541;0,705857
SC;Bom Retiro;0,593899;0,465808;0,732142;0,583746
RN;João Dias;0,593893;0,366661;0,614879;0,800139
PI;Sussuapara;0,593803;0,390907;0,680888;0,709615
PI;São João da Canabrava;0,593764;0,391164;0,720724;0,669405
MG;Carlos Chagas;0,593731;0,458969;0,770808;0,551418
PE;Maraial;0,593727;0,390995;0,542133;0,848053
PI;Anísio de Abreu;0,593699;0,293725;0,74394;0,743431
BA;Licínio de Almeida;0,593689;0,362488;0,850877;0,567703
PE;Capoeiras;0,593618;0,342678;0,656889;0,781289
MT;São José do Povo;0,593567;0,296409;0,740243;0,744048
CE;Nova Russas;0,593554;0,397323;0,719992;0,663347
RS;Santana da Boa Vista;0,593173;0,408224;0,704844;0,666452
PI;Parnaíba;0,593055;0,459268;0,704319;0,615579
AM;Tabatinga;0,593047;0,451268;0,63954;0,688334
PI;Itaueira;0,592964;0,501132;0,624159;0,653602
MG;Carneirinho;0,592911;0,360272;0,828564;0,589895
MA;Presidente Sarney;0,592857;0,427264;0,66015;0,691156
BA;Santa Cruz Cabrália;0,592802;0,44646;0,589601;0,742346
PI;Lagoa do Sítio;0,592798;0,426605;0,6131;0,738688
MG;Braúnas;0,592783;0,251613;0,746742;0,779993
AC;Jordão;0,59249;0,411969;0,660018;0,705484
PB;Matinhas;0,592477;0,362612;0,580358;0,834459
PE;Agrestina;0,592462;0,356308;0,640688;0,780388
MG;Fronteira dos Vales;0,592375;0,423558;0,717403;0,636165
MG;Fernandes Tourinho;0,592297;0,414847;0,791713;0,57033
MA;São Pedro dos Crentes;0,592242;0,378734;0,652615;0,745376
MG;Santana do Manhuaçu;0,592224;0,34056;0,711219;0,724892
RN;Jardim de Angicos;0,592189;0,462796;0,453946;0,859826
AP;Itaubal;0,592099;0,415316;0,632094;0,728886
CE;Ererê;0,592098;0,279844;0,726845;0,769605
AL;Coité do Nóia;0,592072;0,384267;0,685909;0,70604
BA;Muritiba;0,591953;0,423116;0,638097;0,714646
BA;Sapeaçu;0,591883;0,421483;0,69114;0,663027
BA;Catolândia;0,591833;0,469811;0,676446;0,629242
MG;Virgem da Lapa;0,591833;0,414996;0,821228;0,539275
SE;Cumbe;0,591792;0,324404;0,658069;0,792903
MA;Presidente Vargas;0,591684;0,438889;0,638906;0,697257
PE;Mirandiba;0,591637;0,265529;0,697279;0,812102
PB;São José de Caiana;0,591562;0,446629;0,636104;0,691954
BA;Amélia Rodrigues;0,591554;0,375161;0,751758;0,647743
AL;São Brás;0,591549;0,414763;0,627482;0,7324
MA;Governador Edison Lobão;0,591248;0,451588;0,654002;0,668155
RS;Três Forquilhas;0,5912;0,327408;0,796728;0,649465
RN;Alexandria;0,591117;0,309785;0,668553;0,795015
RO;Cabixi;0,59103;0,336325;0,734979;0,701787
PE;Gameleira;0,591009;0,302752;0,639737;0,830538
BA;Ibiassucê;0,590884;0,371762;0,664204;0,736685
PI;Caldeirão Grande do Piauí;0,590839;0,156656;0,790305;0,825556
BA;Ibipeba;0,590798;0,431137;0,729804;0,611452
MA;Codó;0,590699;0,472632;0,637958;0,661508
PE;Itaíba;0,590661;0,331067;0,620279;0,820637
PE;Toritama;0,590564;0,520958;0,567256;0,683478
SP;Nova Guataporanga;0,590396;0,370298;1;0,400891
BA;Ipupiara;0,590348;0,440856;0,694606;0,635583
AL;Santana do Mundaú;0,59031;0,352015;0,622452;0,796462
PB;Caaporã;0,59017;0,381251;0,674672;0,714587
RN;Extremoz;0,590118;0,256149;0,75256;0,761645
TO;Novo Acordo;0,590073;0,370616;0,67545;0,724151
PB;Brejo dos Santos;0,590041;0,423957;0,703014;0,643152
PA;Bannach;0,589965;0,562077;0,611569;0,596249
AL;Olivença;0,589956;0,41976;0,526599;0,823509
